Ticker,Name,Sector,Industry,MarketCap,EPS,PE,PS,BookMarket,DivRatio
17,ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,1430947115.0,1.69,5.12,0.4,2.04,0.85
18,AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,12472320597.0,7.5,22.15,1.29,0.3,0.24
19,ACM,AECOM,Consumer Services,Military/Government/Technical,5218929317.0,0.86,35.1,0.24,0.91,0.0
20,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,2464320000.0,0.84,45.37,1.41,0.13,0.0
21,AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,7135836655.0,13.1,8.66,2.54,0.89,0.0
22,AFL,Aflac Incorporated,Finance,Accident &Health Insurance,35702711997.0,4.64,9.57,2.16,0.69,0.71
23,AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,4812157961.0,2.92,20.33,0.51,0.64,0.59
24,A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,22236672757.0,0.98,66.5,4.28,0.22,0.6
25,AL,Air Lease Corporation,Technology,Diversified Commercial Services,4698604507.0,8.13,4.34,2.25,1.19,0.37
26,APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,37030739124.0,6.83,22.66,3.8,0.33,4.09
27,AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,1522924551.0,-0.08,-44.96,0.17,0.38,0.0
28,ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,1085124890.0,5.17,16.55,1.0,0.49,0.43
29,ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,8042595966.0,6.5,10.78,1.05,0.44,1.26
30,ALB,Albemarle Corporation,Basic Industries,Major Chemicals,11312781410.0,3.15,30.67,3.2,0.36,1.32
31,AA,Alcoa Corporation,Basic Industries,Aluminum,7842332757.0,-0.06,-517.0,0.47,1.17,0.0
32,ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts,1490145470.0,,,,0.9,2.41
33,ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,1766866976.0,7.97,39.99,6.98,0.18,17.75
34,ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,12995465748.0,4.3,28.36,9.5,0.56,3.67
35,Y,Alleghany Corporation,Finance,Property-Casualty Insurers,9544236592.0,59.44,10.4,1.28,0.95,10.11
36,ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,3555816496.0,1.49,17.22,0.8,0.65,0.0
37,ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,8391561471.0,3.28,27.26,3.2,0.07,0.81
38,AGN,Allergan plc.,Health Care,Major Pharmaceuticals,58497406396.0,5.12,37.13,7.82,0.13,0.2
39,ALE,"Allete, Inc.",Public Utilities,Power Generation,3887485025.0,3.01,26.65,2.96,0.51,2.21
40,ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,12605158647.0,17.19,11.33,1.37,0.22,2.23
41,AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,,,,,0.51,
42,ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,7137272253.0,5.18,8.91,2.37,0.11,0.6
43,ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,35180516494.0,10.34,8.63,0.79,0.77,2.03
44,ALLY,Ally Financial Inc.,Finance,Major Banks,11511864444.0,,,,,0.54
45,MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,1.17476685195e+11,5.64,11.5,4.85,0.13,2.73
46,AEE,Ameren Corporation,Public Utilities,Power Generation,16021224687.0,2.85,24.59,2.72,0.46,
47,ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,5618178422.0,,,,,
48,AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,3836044699.0,1.58,12.42,0.86,0.37,0.53
49,AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,35910246125.0,3.98,18.25,2.21,0.53,2.52
50,AXP,American Express Company,Finance,Finance: Consumer Services,92330847228.0,4.31,24.88,2.44,0.23,1.51
51,AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,9853986404.0,8.17,12.62,1.26,0.56,4.85
52,AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,6183339467.0,-0.06,-357.69,5.53,1.02,
53,AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,47620720018.0,-6.69,-6.56,0.83,1.53,1.27
54,AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,64269343106.0,2.68,60.25,10.04,0.1,2.97
55,AWK,American Water Works,Public Utilities,Water Supply,16071025310.0,2.53,36.41,4.83,0.36,1.74
56,APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores,3670734803.0,,,,0.17,
57,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,21839425358.0,11.73,10.53,1.44,0.31,3.4
58,ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,19597584814.0,7.61,11.68,0.12,0.16,1.53
59,APH,Amphenol Corporation,Capital Goods,Electrical Products,27187913912.0,2.52,35.06,3.38,0.15,0.8
60,AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,18069426941.0,3.48,20.45,3.49,0.27,0.51
61,APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,35471439614.0,2.89,19.01,2.2,0.4,0.79
62,AR,Antero Resources Corporation,Energy,Oil & Gas Production,5891463528.0,0.67,21.35,1.09,1.93,0.0
63,ANTM,"Anthem, Inc.",Health Care,Medical Specialities,72108550740.0,17.68,15.16,0.76,0.42,2.96
64,AON,Aon plc,Finance,Specialty Insurers,37737758943.0,3.11,50.19,3.54,0.12,1.52
65,APA,Apache Corporation,Energy,Oil & Gas Production,18351676025.0,2.29,16.34,1.98,0.63,1.0
66,AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,6847878963.0,,,,,
67,ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts,2298025854.0,1.54,12.17,10.5,1.0,2.16
68,AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,2953283542.0,4.05,14.42,0.69,0.38,1.19
69,ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products,6686007610.0,3.27,31.13,2.34,0.22,1.3
70,WTR,"Aqua America, Inc.",Public Utilities,Water Supply,6589329104.0,1.4,24.19,7.21,0.34,0.83
71,ARMK,Aramark,Consumer Services,Restaurants,10248485011.0,2.31,16.47,0.59,0.34,0.42
72,ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,720170724.0,,,,1.08,1.01
73,ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,28988799842.0,4.05,11.84,0.42,0.71,1.34
74,AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,645634777.0,3.94,10.07,1.09,0.62,0.75
75,ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment,18692225062.0,3.53,65.17,8.43,0.11,
76,AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,3578222806.0,3.55,18.91,3.68,0.1,0.0
77,ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components,6355795570.0,6.15,11.68,0.21,0.83,0.0
78,AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,13782648000.0,3.13,24.95,2.12,0.32,1.63
79,ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,1285895906.0,8.33,8.08,0.2,0.36,0.0
80,AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,,,,,,1.02
81,ASH,Ashland Global Holdings Inc.,Consumer Durables,Specialty Chemicals,5143592639.0,3.02,27.48,1.07,0.53,
82,ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials,108689030.0,-0.93,-3.49,0.73,1.1,0.0
83,AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers,2491962185.0,,,,,
84,AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance,6794820105.0,,,,,2.38
85,AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,4578269330.0,4.29,9.35,4.24,1.55,0.64
86,T,AT&T Inc.,Public Utilities,Telecommunications Equipment,2.4770682e+11,5.17,5.87,1.2,0.86,1.97
87,ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission,10524027812.0,,,,0.44,1.94
88,ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.,7262526382.0,3.3,24.74,0.82,0.29,2.05
89,AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket,3561077705.0,4.98,7.74,0.16,0.75,0.0
90,AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores,20748643345.0,49.59,14.79,1.76,-0.08,0.0
91,AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts,24784986794.0,6.0,31.09,11.36,0.4,5.79
92,AGR,"Avangrid, Inc.",Public Utilities,Electric Utilities: Central,14544878153.0,1.29,39.26,0.0,0.99,1.73
93,AVY,Avery Dennison Corporation,Consumer Durables,Containers/Packaging,9345862870.0,3.54,25.84,1.13,0.13,1.94
94,AVA,Avista Corporation,Public Utilities,Power Generation,3362568720.0,,,,0.51,1.48
95,AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,866995949.0,0.34,5.87,0.15,-0.36,0.0
96,AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,6758255179.0,0.29,82.9,1.24,0.23,0.0
97,AZZ,AZZ Inc.,Consumer Durables,Building Products,1298982964.0,1.94,23.54,1.32,0.49,0.68
98,BGS,"B&G Foods, Inc.",Consumer Non-Durables,Packaged Foods,1766326076.0,2.87,10.56,1.16,0.41,1.87
99,BMI,"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components,1500514016.0,0.82,61.5,3.43,0.2,0.54
100,BLL,Ball Corporation,Consumer Durables,Containers/Packaging,15940294966.0,1.33,36.92,1.47,0.23,0.4
101,BAC,Bank of America Corporation,Finance,Major Banks,3.02344318843e+11,2.15,13.26,3.29,0.94,1.1
102,BK,Bank Of New York Mellon Corporation (The),Finance,Major Banks,53151460254.0,4.34,11.52,3.14,,1.18
103,BKU,"BankUnited, Inc.",Finance,Savings Institutions,,,,,0.99,0.88
104,BNED,"Barnes & Noble Education, Inc",Consumer Services,Other Specialty Stores,258029563.0,-5.22,-0.92,0.11,2.15,0.0
105,BKS,"Barnes & Noble, Inc.",Consumer Services,Other Specialty Stores,,,,,0.82,0.61
106,BAX,Baxter International Inc.,Health Care,Medical/Dental Instruments,39177728933.0,2.24,29.2,3.18,0.26,0.67
107,BBT,BB&T Corporation,Finance,Major Banks,38200043621.0,3.76,13.5,3.44,0.77,1.71
108,BZH,"Beazer Homes USA, Inc.",Capital Goods,Homebuilding,354437887.0,,,,1.84,0.0
109,BDX,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments,66989892022.0,0.62,390.83,3.91,0.32,3.59
110,BMS,"Bemis Company, Inc.",Consumer Durables,Containers/Packaging,4226750857.0,1.22,39.39,1.07,0.27,1.24
111,BHE,"Benchmark Electronics, Inc.",Technology,Electrical Products,1130997444.0,-1.7,-14.24,0.45,1.14,0.3
112,BERY,"Berry Global Group, Inc.",Consumer Non-Durables,Plastic Products,6139244000.0,3.77,13.07,0.82,0.22,0.0
113,BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains,19597918276.0,4.06,14.53,0.37,0.19,1.76
114,BIG,"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores,1673386297.0,3.9,7.64,0.22,0.5,
115,BIO,"Bio-Rad Laboratories, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,8694828622.0,42.84,5.88,3.27,0.64,0.0
116,BKH,Black Hills Corporation,Public Utilities,Electric Utilities: Central,1414116154.0,,,,0.26,
117,BLK,"BlackRock, Inc.",Finance,Investment Bankers/Brokers/Service,75237420308.0,35.35,11.56,4.81,0.51,11.65
118,BXC,BlueLinx Holdings Inc.,Capital Goods,Wholesale Distributors,267179576.0,2.35,10.28,0.08,0.01,0.0
119,BA,Boeing Company (The),Capital Goods,Aerospace,2.22030228112e+11,17.41,21.37,2.22,-0.01,6.51
120,BOOT,"Boot Barn Holdings, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,817476513.0,1.41,16.01,0.85,0.37,0.0
121,BAH,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services,7019163141.0,2.49,20.65,1.16,0.09,0.75
122,BWA,BorgWarner Inc.,Capital Goods,Auto Parts:O.E.M.,8709766493.0,2.66,12.81,0.67,0.59,0.68
123,SAM,"Boston Beer Company, Inc. (The)",Consumer Non-Durables,Beverages (Production/Distribution),3498495975.0,8.67,36.37,3.78,0.12,0.0
124,BXP,"Boston Properties, Inc.",Consumer Services,Real Estate Investment Trusts,18486628329.0,3.42,36.76,7.27,0.42,3.58
125,BSX,Boston Scientific Corporation,Health Care,Medical/Dental Instruments,52225827501.0,0.49,75.97,5.26,0.16,0.0
126,BOX,"Box, Inc.",Technology,Computer Software: Prepackaged Software,2958241026.0,-1.06,-18.2,4.62,0.01,0.0
127,BRC,Brady Corporation,Consumer Durables,Miscellaneous manufacturing industries,2048154016.0,1.85,22.21,1.81,0.38,0.84
128,BGG,Briggs & Stratton Corporation,Energy,Industrial Machinery/Components,797310568.0,-0.89,-14.88,0.3,0.93,0.57
129,BFAM,Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services,6659768186.0,2.81,42.08,3.67,0.11,0.0
130,BV,"BrightView Holdings, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,1261732691.0,-0.11,-136.27,5.99,0.15,0.0
131,BCO,Brink&#39;s Company (The),Transportation,Oil Refining/Marketing,3391287036.0,-2.36,-29.2,1.01,0.07,0.6
132,BMY,Bristol-Myers Squibb Company,Health Care,Major Pharmaceuticals,1.02645057576e+11,0.88,57.82,3.76,0.17,1.59
133,BRS,Bristow Group Inc,Transportation,Transportation Services,428511570.0,-8.04,-0.84,0.17,4.05,0.0
134,BRX,Brixmor Property Group Inc.,Consumer Services,Real Estate Investment Trusts,5005721549.0,1.18,13.66,3.9,0.59,0.0
135,BR,"Broadridge Financial Solutions, Inc.",Miscellaneous,Business Services,14559257026.0,3.89,25.42,2.64,0.11,1.46
136,BKD,Brookdale Senior Living Inc.,Health Care,Hospital/Nursing Management,1692650517.0,,,,0.59,
137,BRO,"Brown & Brown, Inc.",Finance,Specialty Insurers,8146369502.0,1.23,23.16,5.36,0.37,0.22
138,BC,Brunswick Corporation,Energy,Industrial Machinery/Components,5446189454.0,1.19,44.1,0.96,0.33,0.75
139,BPL,Buckeye Partners L.P.,Energy,Natural Gas Distribution,5320406960.0,,,,0.85,
140,BKE,"Buckle, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores,1055936589.0,2.0,9.33,1.0,0.45,2.77
141,BG,Bunge Limited,Consumer Non-Durables,Packaged Foods,9723987635.0,1.69,36.75,0.19,0.79,2.12
142,BURL,"Burlington Stores, Inc.",Consumer Services,Department/Specialty Retail Stores,10290675161.0,7.03,23.04,1.64,0.02,0.0
143,COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas Production,10742669300.0,0.52,48.88,6.2,0.19,0.23
144,CACI,"CACI International, Inc.",Technology,EDP Services,4569518499.0,13.69,11.62,0.86,0.55,0.0
145,CAL,"Caleres, Inc.",Consumer Non-Durables,Shoe Manufacturing,1461024295.0,2.15,13.9,0.45,0.6,0.29
146,CRC,California Resources Corporation,Energy,Oil & Gas Production,,-3.4,-6.17,0.39,0.14,0.0
147,ELY,Callaway Golf Company,Consumer Non-Durables,Recreational Products/Toys,2192456851.0,1.2,16.09,1.46,0.42,0.04
148,CPE,Callon Petroleum Company,Energy,Oil & Gas Production,2556795560.0,0.76,11.82,3.47,,
149,CBM,Cambrex Corporation,Health Care,Major Pharmaceuticals,2103474716.0,3.19,14.83,3.36,0.42,0.0
150,CPT,Camden Property Trust,Consumer Services,Real Estate Investment Trusts,8541741954.0,2.15,43.36,9.35,0.4,3.11
151,CPB,Campbell Soup Company,Consumer Non-Durables,Packaged Foods,11499695309.0,0.6,64.93,1.27,0.12,1.4
152,CP,Canadian Pacific Railway Limited,Transportation,Railroads,31230366907.0,16.63,12.59,4.29,0.24,2.34
153,COF,Capital One Financial Corporation,Finance,Major Banks,46134525257.0,7.22,12.52,1.56,1.18,2.16
154,CSU,Capital Senior Living Corporation,Health Care,Hospital/Nursing Management,274040635.0,-1.13,-6.98,0.51,0.24,0.0
155,CRR,"Carbo Ceramics, Inc.",Capital Goods,Industrial Machinery/Components,198754726.0,-2.65,-1.87,0.6,2.61,0.0
156,CAH,"Cardinal Health, Inc.",Health Care,Other Pharmaceuticals,16913694068.0,2.37,22.57,0.12,0.37,1.87
157,CSL,Carlisle Companies Incorporated,Basic Industries,Specialty Chemicals,7001143232.0,10.47,9.75,1.31,0.45,1.52
158,KMX,CarMax Inc,Consumer Durables,Automotive Aftermarket,12541339357.0,4.08,17.12,0.7,0.29,0.0
159,CCL,Carnival Corporation,Consumer Services,Marine Transportation,32415051403.0,4.5,12.7,2.18,0.82,1.81
160,CSLT,"Castlight Health, inc.",Technology,EDP Services,349910847.0,-0.34,-8.38,2.58,0.5,0.0
161,CAT,"Caterpillar, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,91688716415.0,6.38,19.17,1.37,0.22,3.2
162,CBL,"CBL & Associates Properties, Inc.",Consumer Services,Real Estate Investment Trusts,647413980.0,,,,,
163,CBS,CBS Corporation,Consumer Services,Broadcasting,21452654125.0,3.57,16.11,1.52,0.12,0.74
164,CDR,"Cedar Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,380351184.0,-0.11,-31.41,2.02,1.79,0.33
165,CE,Celanese Corporation,Basic Industries,Major Chemicals,14745331943.0,9.68,10.47,1.94,0.29,2.01
166,CNC,Centene Corporation,Health Care,Medical Specialities,543415917.0,5.63,25.55,5.33,0.28,1.66
167,CNP,"CenterPoint Energy, Inc.",Public Utilities,Electric Utilities: Central,11966983851.0,3.57,7.79,1.18,0.4,1.1
168,CCS,"Century Communities, Inc.",Capital Goods,Homebuilding,754186245.0,2.97,6.97,0.3,1.34,0.0
169,CTL,"CenturyLink, Inc.",Public Utilities,Telecommunications Equipment,22936273316.0,1.76,9.93,0.78,1.21,2.26
170,CF,"CF Industries Holdings, Inc.",Basic Industries,Agricultural Chemicals,12917821124.0,3.02,15.6,2.51,0.57,1.2
171,CRL,"Charles River Laboratories International, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,6163034036.0,2.86,47.2,3.01,0.21,0.0
172,CHE,Chemed Corp.,Health Care,Medical/Nursing Services,5051283545.0,12.81,24.78,2.91,0.11,1.14
173,CC,Chemours Company (The),Basic Industries,Major Chemicals,6884579704.0,5.99,4.77,0.76,0.23,0.62
174,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas Production,4260319659.0,0.66,5.67,0.35,-0.01,0.1
175,CHSP,Chesapeake Lodging Trust,Consumer Services,Real Estate Investment Trusts,1898852221.0,1.88,15.64,2.91,0.6,1.61
176,CVX,Chevron Corporation,Energy,Integrated oil Companies,2.39211803964e+11,7.49,15.94,1.46,0.68,4.44
177,CIM,Chimera Investment Corporation,Consumer Services,Real Estate Investment Trusts,3362375971.0,,,,,
178,CGA,"China Green Agriculture, Inc.",Basic Industries,Agricultural Chemicals,33154088.0,-0.18,-3.4,0.08,16.54,0.0
179,CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,Restaurants,12134823586.0,6.75,72.76,2.88,0.11,0.0
180,CBK,Christopher & Banks Corporation,Consumer Services,Clothing/Shoe/Accessory Stores,27618822.0,-0.81,-0.43,0.04,2.36,0.0
181,CB,Chubb Limited,Finance,Property-Casualty Insurers,63423615978.0,11.06,11.46,1.78,0.88,2.86
182,CHD,"Church & Dwight Company, Inc.",Basic Industries,Package Goods/Cosmetics,14633183128.0,3.38,19.19,3.89,0.15,0.84
183,CIEN,Ciena Corporation,Public Utilities,Telecommunications Equipment,4173423991.0,5.23,5.97,1.53,,0.0
184,CI,Cigna Corporation,Health Care,Medical Specialities,51812318869.0,,,,0.3,
185,XEC,Cimarex Energy Co,Energy,Oil & Gas Production,9464090345.0,6.94,11.52,3.31,0.4,0.49
186,CBB,Cincinnati Bell Inc,Public Utilities,Telecommunications Equipment,654612011.0,-1.51,-8.22,0.37,-0.05,0.23
187,CNK,Cinemark Holdings Inc,Consumer Services,Movies/Entertainment,,,,,,1.26
188,CIT,CIT Group Inc (DEL),Finance,Major Banks,5830876675.0,2.0,22.16,2.14,1.36,0.9
189,C,Citigroup Inc.,Finance,Major Banks,1.85099672257e+11,-2.03,-31.66,2.25,1.26,1.88
190,CFG,"Citizens Financial Group, Inc.",Finance,Major Banks,18457202982.0,3.93,9.24,2.93,1.19,0.92
191,CLF,Cleveland-Cliffs Inc.,Basic Industries,Precious Metals,,2.79,3.76,1.28,-0.03,0.0
192,CLX,Clorox Company (The),Consumer Durables,Specialty Chemicals,19410655893.0,6.52,24.88,3.38,0.03,3.6
193,CMS,CMS Energy Corporation,Public Utilities,Power Generation,14234087707.0,,,,0.34,
194,CNA,CNA Financial Corporation,Finance,Property-Casualty Insurers,12363724630.0,4.13,11.7,1.29,0.88,3.25
195,KO,Coca-Cola Company (The),Consumer Non-Durables,Beverages (Production/Distribution),1.97675835337e+11,2.64,18.82,1.64,0.1,6.08
196,CDE,"Coeur Mining, Inc.",Basic Industries,Precious Metals,1023229173.0,-0.22,-22.31,1.32,0.79,0.0
197,CNS,Cohen & Steers Inc,Finance,Investment Managers,,2.33,15.5,4.36,0.24,2.26
198,CL,Colgate-Palmolive Company,Consumer Non-Durables,Package Goods/Cosmetics,56706723784.0,2.42,26.32,3.57,0.0,1.81
199,CMA,Comerica Incorporated,Finance,Major Banks,15902106570.0,6.05,13.83,4.33,0.58,1.25
200,CODI,Compass Diversified Holdings,Consumer Durables,Home Furnishings,1061428000.0,0.75,20.29,0.57,,
201,CMP,"Compass Minerals International, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2246432516.0,0.4,126.52,1.16,0.32,2.88
202,CAG,"ConAgra Brands, Inc.",Consumer Non-Durables,Packaged Foods,13635454521.0,2.1,17.2,1.8,0.27,0.86
203,CXO,Concho Resources Inc.,Energy,Oil & Gas Production,31319212518.0,6.58,21.04,5.66,0.62,0.0
204,COP,ConocoPhillips,Energy,Integrated oil Companies,90968820710.0,19.97,3.21,0.55,0.43,4.44
205,ED,Consolidated Edison Inc,Public Utilities,Power Generation,24272255202.0,5.01,15.28,1.93,0.64,2.69
206,CLR,"Continental Resources, Inc.",Energy,Oil & Gas Production,24784631493.0,4.39,10.17,3.6,0.35,0.0
207,CPS,Cooper-Standard Holdings Inc.,Capital Goods,Auto Parts:O.E.M.,1933396546.0,8.9,8.46,0.37,0.68,0.0
208,COR,CoreSite Realty Corporation,Consumer Services,Real Estate Investment Trusts,3650888568.0,2.13,45.05,6.21,0.1,5.53
209,GLW,Corning Incorporated,Basic Industries,Telecommunications Equipment,28622124963.0,-0.77,-43.87,2.57,0.52,0.81
210,COT,Cott Corporation,Consumer Non-Durables,Beverages (Production/Distribution),2080678089.0,2.86,5.15,0.88,,
211,COTY,Coty Inc.,Consumer Non-Durables,Package Goods/Cosmetics,8953910073.0,-0.21,-35.28,0.62,1.59,0.5
212,CUZ,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts,3597285310.0,0.21,41.09,7.76,0.78,0.25
213,CVA,Covanta Holding Corporation,Basic Industries,Electric Utilities: Central,,2.1,7.15,1.05,0.26,
214,CR,Crane Co.,Capital Goods,Metal Fabrications,5749385900.0,3.65,23.81,1.61,0.3,1.38
215,CCI,Crown Castle International Corporation,Consumer Services,Real Estate Investment Trusts,45109696815.0,1.08,101.58,8.59,0.27,4.51
216,CCK,"Crown Holdings, Inc.",Consumer Durables,Containers/Packaging,6655223764.0,2.22,22.05,0.62,0.2,0.0
217,CRY,"CryoLife, Inc.",Health Care,Medical/Dental Instruments,1171276456.0,-0.14,-208.73,4.27,0.25,0.0
218,CSS,"CSS Industries, Inc.",Consumer Services,Consumer: Greeting Cards,127585247.0,-6.14,-1.93,0.28,2.13,0.8
219,CUBE,CubeSmart,Consumer Services,Real Estate Investment Trusts,5169479954.0,0.85,34.52,9.12,0.32,1.17
220,CUB,Cubic Corporation,Capital Goods,Industrial Machinery/Components,1927835554.0,0.45,141.85,1.45,0.43,0.27
221,CFR,"Cullen/Frost Bankers, Inc.",Finance,Major Banks,6718482711.0,6.72,15.14,5.04,0.51,2.63
222,CMI,Cummins Inc.,Energy,Industrial Machinery/Components,25183890036.0,7.86,18.38,1.02,0.34,4.37
223,CVS,CVS Health Corporation,Health Care,Medical/Nursing Services,81128378491.0,3.06,26.22,0.43,0.45,2.0
224,DHI,"D.R. Horton, Inc.",Capital Goods,Homebuilding,15267214521.0,,,,,
225,DHR,Danaher Corporation,Capital Goods,Industrial Machinery/Components,73901108969.0,3.95,25.65,3.61,0.39,0.6
226,DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants,13384372678.0,5.2,21.37,1.68,0.17,2.65
227,DVA,DaVita Inc.,Health Care,Hospital/Nursing Management,12025145000.0,3.5,18.37,0.99,0.48,0.0
228,DE,Deere & Company,Capital Goods,Industrial Machinery/Components,49881450096.0,7.34,20.33,1.29,0.24,2.5
